"block","lot","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","sale_price","borough_Manhattan","borough_Queens","borough_Staten Island","tax_class_at_present_1","tax_class_at_present_1A","tax_class_at_present_1C","tax_class_at_present_2","tax_class_at_present_2A","tax_class_at_present_2B","tax_class_at_present_2C","tax_class_at_present_4"
12204,137,1,0,1,-0.47871934931896,-0.128724226576351,1920,1,380000,0,1,0,1,0,0,0,0,0,0,0
7470,1405,0,0,0,-1.00853516296613,-0.13634488901943,1980,2,263640,0,0,0,0,0,0,1,0,0,0,0
3543,1054,0,0,0,-1.00853516296613,-0.122322870124164,1986,2,330000,0,0,1,0,0,0,1,0,0,0,0
903,1017,0,0,0,-1.00853516296613,-0.113279684025044,1920,2,1050000,1,0,0,0,0,0,1,0,0,0,0
2750,1204,0,0,0,-1.00853516296613,-0.136751324349727,2018,2,711757,0,0,0,0,0,0,0,0,0,1,0
8000,46,2,0,2,-0.0989033374576114,-0.0144142899301668,1960,1,690000,0,0,0,1,0,0,0,0,0,0,0
7928,65,2,0,2,0.141922032382012,0.157507854785694,1940,1,524399,0,0,0,1,0,0,0,0,0,0,0
2130,1089,0,0,0,-1.00853516296613,-0.0830002519178771,0,2,1575000,0,0,0,0,0,0,1,0,0,0,0
7191,59,1,0,1,0.826324797716711,-0.078224636786881,1940,1,920000,0,1,0,1,0,0,0,0,0,0,0
619,1005,0,0,0,-1.00853516296613,-0.0325006621284074,1904,2,481000,1,0,0,0,0,0,0,0,0,1,0
2862,1006,0,0,0,-1.00853516296613,-0.131772491553582,1985,2,245000,0,0,1,0,0,0,1,0,0,0,0
15631,1020,0,0,0,-1.00853516296613,-0.0757860248050957,1966,1,340000,0,1,0,0,1,0,0,0,0,0,0
1903,1009,0,0,0,-1.00853516296613,-0.0650154885522108,1910,2,1400000,1,0,0,0,0,0,1,0,0,0,0
3515,124,1,0,1,0.872196296733783,-0.0335167504541513,1987,1,805000,0,0,0,1,0,0,0,0,0,0,0
5086,1033,0,0,0,-1.00853516296613,-0.119985866974954,1953,2,6e+05,0,0,0,0,0,0,1,0,0,0,0
8183,8,1,0,1,-0.14936198637639,-0.073753848153608,1930,1,510000,0,0,0,1,0,0,0,0,0,0,0
2862,1045,0,0,0,-1.00853516296613,-0.13959637166181,1985,2,152000,0,0,1,0,0,0,1,0,0,0,0
8023,56,2,0,2,-0.0911051826247093,-0.0794439427777736,1925,1,799999,0,0,0,1,0,0,0,0,0,0,0
6072,1001,0,0,0,-1.00853516296613,-0.138885109833789,0,1,398000,0,0,0,0,1,0,0,0,0,0,0
6746,27,4,0,4,0.367609807546001,0.135153911619329,1931,2,525000,0,0,0,0,0,0,0,1,0,0,0
5543,118,2,0,2,0.138252312460646,-0.0131949839392741,1910,1,565000,0,0,0,1,0,0,0,0,0,0,0
5953,4,1,0,1,0.318527303597735,-0.0343296211147464,1920,1,1100000,0,0,0,1,0,0,0,0,0,0,0
7299,1309,0,0,0,-1.00853516296613,-0.0945836588313571,2016,2,750000,0,0,0,0,0,0,1,0,0,0,0
3258,1113,0,0,0,-1.00853516296613,-0.124050220277929,2017,2,733140,0,1,0,0,0,0,1,0,0,0,0
6548,1003,0,0,0,-1.00853516296613,-0.0918402203518487,1999,2,570000,0,0,0,0,0,0,0,0,0,1,0
1030,1015,0,0,0,-1.00853516296613,-0.149045993091228,2015,2,1807394,1,0,0,0,0,0,1,0,0,0,0
4748,12,3,0,3,0.538251783889505,0.175797444649083,1997,1,680000,0,0,0,1,0,0,0,0,0,0,0
3897,45,1,0,1,-0.182848180658851,0.0315129023934556,1920,1,595000,0,0,0,1,0,0,0,0,0,0,0
6422,25,1,0,1,-0.182848180658851,-0.06847018885974,1950,1,885000,0,1,0,1,0,0,0,0,0,0,0
1537,1848,0,0,0,-1.00853516296613,-0.0825938165875796,0,2,1340000,1,0,0,0,0,0,1,0,0,0,0
197,22,2,0,2,1.65201178002399,-0.0546513876296235,1899,1,3e+05,0,0,1,1,0,0,0,0,0,0,0
6267,73,1,0,1,-0.0911051826247093,-0.0538385169690284,1920,1,980000,0,0,0,1,0,0,0,0,0,0,0
3960,165,2,0,2,-0.173673880855437,-0.0680637535294424,2005,1,385000,0,0,1,1,0,0,0,0,0,0,0
1163,33,20,0,20,1.65017692006331,1.32235151141845,1931,2,440000,0,0,0,0,0,0,1,0,0,0,0
4897,30,2,0,2,0.138252312460646,-0.00811454231055486,1925,1,4e+05,0,0,0,1,0,0,0,0,0,0,0
6257,17,2,0,2,0.0235735649179683,-0.00608236565906715,1925,1,1175000,0,0,0,1,0,0,0,0,0,0,0
2701,1004,0,0,0,-1.00853516296613,-0.135633627191409,2017,2,740000,0,0,0,0,0,0,0,0,0,1,0
7787,67,1,0,1,0.826324797716711,-0.0485548576751604,1960,1,920000,0,1,0,1,0,0,0,0,0,0,0
719,14,3,0,3,-0.181472035688339,0.0467542272796134,1910,1,495000,0,0,0,1,0,0,0,0,0,0,0
6012,25,1,0,1,3.57861473874097,-0.0345328387798951,1980,1,9e+05,0,0,1,1,0,0,0,0,0,0,0
11964,299,1,0,1,0.0657753440136737,-0.0440840690418874,1930,1,530000,0,1,0,1,0,0,0,0,0,0,0
438,1029,0,0,0,-1.00853516296613,-0.129130661906648,2010,2,840000,0,1,0,0,0,0,1,0,0,0,0
1199,7,3,2,5,-0.264499448909238,0.303824573692809,1910,2,2035000,0,0,0,0,0,0,0,1,0,0,0
1714,13,2,0,2,0.405224436739999,0.0404544796600015,1910,1,1050000,0,1,0,1,0,0,0,0,0,0,0
